"","fat","protein.num","sugar.num","energy.num","mass.female","gestation.month","lacatation.months","mass.litter","repro.output","dev.stage.at.birth","diet","arid","biome","Australia","order","family","spp","fat.log10","fat.logit","mass.log10","lemurs"
"98",3,2.1,7.2,0.68,1120,5.4,5.4,188,0.17,2,"omnivore","no","terrestrial","other","Primates","Cercopithecidae","Miopithecus talapoin",0.477121254719662,-3.47609868983527,3.04921802267018,"not.a.lemur"
"99",4.5,1.5,7.8,0.81,12933,1.1,7,1068,0.08,2,"omnivore","yes","terrestrial","other","Primates","Cercopithecidae","Papio anubis",0.653212513775344,-3.05504885071041,4.11169927757355,"not.a.lemur"
"100",4.5,1.5,7.8,0.81,11725,1.1,7,854,0.07,2,"omnivore","yes","terrestrial","other","Primates","Cercopithecidae","Papio cynocephalus",0.653212513775344,-3.05504885071041,4.06911285138712,"not.a.lemur"
"101",4.5,1.5,7.8,0.81,19500,1.1,7,1000,0.05,2,"omnivore","yes","terrestrial","other","Primates","Cercopithecidae","Papio papio",0.653212513775344,-3.05504885071041,4.29003461136252,"not.a.lemur"
"102",7.3,5.2,6.6,1.23,731,4.4,5,49,0.07,3,"omnivore","no","terrestrial","other","Primates","Galagidae9","Otolemur garnettii",0.863322860120456,-2.54149412441746,2.86391737695786,"not.a.lemur"
"103",8,4.8,6.4,1.26,935,4.41,4.5,80,0.09,3,"omnivore","no","terrestrial","other","Primates","Galagidae9","Otolemur crassicaudatus",0.903089986991944,-2.4423470353692,2.97081161087252,"not.a.lemur"
"104",1.9,1.4,6.8,0.52,90000,8.5,42,1600,0.02,2,"herbivore","no","terrestrial","other","Primates","Hominidae","Gorilla beringei beringei",0.278753600952829,-3.94413348039892,4.95424250943933,"not.a.lemur"
"105",0.9,1.3,8.5,0.49,2500,4.02,5,85,0.03,2,"omnivore","no","terrestrial","other","Primates","Lemuridae","Eulemur fulvus",-0.0457574905606751,-4.70148995699377,3.39794000867204,"lemur"
"106",1.1,1.5,8.4,0.52,2250,4.37,5.2,79,0.04,2,"omnivore","no","terrestrial","other","Primates","Lemuridae","Eulemur macaco",0.0413926851582251,-4.49879905882434,3.35218251811136,"lemur"
"107",0.8,1.1,8.9,0.49,2000,4.28,3.3,86,0.04,2,"omnivore","no","terrestrial","other","Primates","Lemuridae","Eulemur rubriventer",-0.0969100130080564,-4.82028156560504,3.30102999566398,"lemur"
"108",0.7,1.3,7.9,0.45,1350,4.29,5.1,71,0.05,2,"omnivore","no","terrestrial","other","Primates","Lemuridae","Eulemur mongoz",-0.154901959985743,-4.95482051498986,3.13033376849501,"lemur"
"109",3.2,4.2,7.7,0.84,3750,3.34,3.7,205,0.05,2,"herbivore","no","terrestrial","other","Primates","Lemuridae","Varecia variegata",0.505149978319906,-3.40949618447685,3.57403126772772,"lemur"
"110",7,3.9,6.6,1.13,900,6.34,5.8,53,0.06,2,"omnivore","no","terrestrial","other","Primates","Lorisidae","Nycticebus coucang",0.845098040014257,-2.58668934409794,2.95424250943932,"not.a.lemur"
"111",7.3,4.5,5.2,1.13,2720000,21.12,18,100039,0.04,3,"herbivore","no","terrestrial","other","Proboscidea","Elephantidae","Elaphus maximus",0.863322860120456,-2.54149412441746,6.4345689040342,"not.a.lemur"
"112",5,4,5.3,0.9,2482500,21.46,39.4,100986,0.04,3,"herbivore","yes","terrestrial","other","Proboscidea","Elephantidae","Loxodonta africana",0.698970004336019,-2.94443897916644,6.39488925716742,"not.a.lemur"
"113",4.5,4.8,5.7,0.92,80,2.23,1.2,17,0.21,0,"herbivore","yes","terrestrial","other","Rodentia","Bathyergidae","Heterocephalus glaber",0.653212513775344,-3.05504885071041,1.90308998699194,"not.a.lemur"
"114",19,11.2,1.7,2.45,19000,3.51,2.3,1700,0.09,3,"herbivore","no","terrestrial","other","Rodentia","Castoridae","Castor fiber",1.27875360095283,-1.450010175506,4.27875360095283,"not.a.lemur"
"115",5.7,6.3,4.8,1.08,728,2.24,0.6,366,0.5,4,"herbivore","no","terrestrial","other","Rodentia","Caviidae","Cavia porcellus",0.755874855672491,-2.80601501479891,2.86213137931304,"not.a.lemur"
"116",7.5,6.6,5.2,1.28,950,2.53,1.1,126,0.13,3,"herbivore","yes","terrestrial","other","Rodentia","Caviidae","Kerodon rupestris",0.8750612633917,-2.51230562397611,2.97772360528885,"not.a.lemur"
"117",11.2,7.3,1.7,1.52,365,3.7,1.8,64,0.18,3,"herbivore","yes","terrestrial","other","Rodentia","Chinchillidae","Chinchilla lanigera",1.04921802267018,-2.07047287169708,2.56229286445647,"not.a.lemur"
"118",4.9,9.4,4.9,1.19,105,0.54,0.7,20,0.19,0,"omnivore","yes","terrestrial","other","Rodentia","Cricetidae10","Mesocricetus auratus",0.690196080028514,-2.96569376443476,2.02118929906994,"not.a.lemur"
"119",22.3,11,4.4,2.85,374,3.1,1.5,66,0.18,4,"herbivore","yes","terrestrial","other","Rodentia","Echimyidae","Thrichomys apereoides",1.34830486304816,-1.24826857890753,2.57287160220048,"not.a.lemur"
"120",21.2,12.3,2.8,2.76,41,1.23,0.8,14,0.34,3,"herbivore","yes","terrestrial","other","Rodentia","Muridae","Acomys cahirinus",1.32633586092875,-1.31291181518587,1.61278385671974,"not.a.lemur"
"121",27,12.5,2.6,3.29,16,0.69,0.7,8,0.5,0,"omnivore","no","terrestrial","other","Rodentia","Muridae","Mus musculus",1.43136376415899,-0.994622575144062,1.20411998265592,"not.a.lemur"
"122",15,5.5,2.6,1.79,31,1.16,1,11,0.35,1,"omnivore","yes","terrestrial","other","Rodentia","Muridae","Notomys alexis",1.17609125905568,-1.73460105538811,1.49136169383427,"not.a.lemur"
"123",10.3,5.6,2.3,1.36,40,1.4,1.1,8,0.2,1,"omnivore","yes","terrestrial","other","Rodentia","Muridae","Notomys cervinus",1.01283722470517,-2.16432687382916,1.60205999132796,"not.a.lemur"
"124",7.5,6.5,2.7,1.17,50,1.21,1,13,0.26,1,"omnivore","yes","terrestrial","other","Rodentia","Muridae","Notomys mitchelli",0.8750612633917,-2.51230562397611,1.69897000433602,"not.a.lemur"
"125",12.1,6.4,3.6,1.62,65,1.02,0.9,13,0.2,0,"herbivore","yes","terrestrial","other","Rodentia","Muridae","Pseudomys australis",1.08278537031645,-1.98299435208844,1.81291335664286,"not.a.lemur"
"126",8.8,8.1,3.8,1.43,253,0.71,0.8,51,0.2,0,"omnivore","no","terrestrial","other","Rodentia","Muridae","Rattus norvegicus",0.944482672150169,-2.33830317559612,2.40312052117582,"not.a.lemur"
"127",20.1,4.4,2.7,2.2,235,2.96,1.2,74,0.31,3,"herbivore","yes","terrestrial","other","Rodentia","Octodontidae","Octodon degus",1.30319605742049,-1.3800560377072,2.37106786227174,"not.a.lemur"
"128",21.7,8.1,4.3,2.62,53,0.98,1.5,14,0.26,0,"omnivore","no","terrestrial","other","Rodentia","Scuiridae","Tamias amoenus",1.33645973384853,-1.28323534245034,1.72427586960079,"not.a.lemur"
"129",9.2,10.7,3.4,1.6,406,0.84,1,32,0.08,0,"herbivore","no","terrestrial","other","Rodentia","Scuiridae","Urocitellus columbianus",0.963787827345555,-2.28945580155225,2.60852603357719,"not.a.lemur"
"130",30,9.4,3,3.4,14,0.97,0.8,4,0.29,0,"carnivore","no","terrestrial","other","Soricomorpha11","Soricidae","Crocidura russula",1.47712125471966,-0.847297860387204,1.14612803567824,"not.a.lemur"
